slug	name	confirmed
3d	3D	orange, pink and bicolour
amsterdam	Amsterdam	orange and peach
blush	Blush	peach, pink and bicolour
cherry-brandy	Cherry Brandy	orange, peach, pink and bicolour
coffee-break	Coffee Break	orange
deep-purple	Deep Purple	pink and lavender
engagement	Engagement	peach
esperance	Esperance	pink and green
friendship	Friendship	yellow, red and bicolour
glitz	Glitz	yellow
govinda	Govinda	lavender
green-romance	Green Romance	green
high-and-candy	High & Candy	pink and bicolour
high-and-magic	High & Magic	yellow, orange and bicolour
high-and-orange-magic	High & Orange Magic	orange and bicolour
high-and-yellow-magic	High & Yellow Magic	yellow, orange and bicolour
hot-spot	Hot Spot	pink
iguazu	Iguazu	red
lemonade	Lemonade	green
malibu	Malibú	pink and bicolour
mango-tango	Mango Tango	orange and bicolour
mondial	Mondial	white and cream
mother-of-pearl	Mother of Pearl	cream and peach
nina	Nina	orange
phoenix	Phoenix	peach
poma-rosa	Poma Rosa	cream and pink
proud	Proud	white and cream
sweet-cake	Sweet Cake	pink
sweet-lady	Sweet Lady	pink
sweetness	Sweetness	red and bicolour
vendela	Vendela	cream
all-4-love	All 4 Love	pink
aloha	Aloha	pink and lavender
antonia-gardens	Antonia Gardens	peach
aurora-gardens	Aurora Gardens	cream
candy-x-pression	Candy X-pression	orange and peach
cotton-x-pression	Cotton X-pression	cream and peach
country-candy	Country Candy	peach, red and bicolour
country-home	Country Home	peach and pink
cream-x-pression	Cream X-pression	cream and peach
creamy-kiss	Creamy Kiss	white and cream
dragonfly	Dragonfly	orange and peach
free-spirit	Free Spirit	orange, peach, pink and bicolour
garden-spirit	Garden Spirit	cream and peach
juicy-x-pression	Juicy X-pression	orange and peach
mayra-hot-pink	Mayra Hot Pink	pink
mayra-peach	Mayra Peach	orange and peach
melon-x-pression	Melon X-pression	peach
pink-ohara	Pink O'Hara	pink
shimmer	Shimmer	peach
vicky-gardens	Vicky Gardens	cream
champagne	Champagne	white and cream
champagne-majolika	Champagne Majolika	white and cream
cream-majolika	Cream Majolika	white and cream
fibonacci	Fibonacci	orange and peach
fire-up	Fire Up	pink
morning-star	Morning Star	cream and peach
portrait	Portrait	cream and peach
shining-star	Shining Star	white and cream
sweet-dreams	Sweet Dreams	white and cream
candy-cane	Candy Cane Cocktail	cream, red and bicolour
dark-blue	Dark Blue	none
fall-hellujah	Fall Hellujah	orange, red and bicolour
fluffy	Fluffy	lavender and bicolour
hallow-queen	Hallow Queen	orange, red and bicolour
harvest-delight	Harvest Delight	none
hopper	Hopper	cream, lavender and bicolour
light-blue	Light Blue	none
peeps	Peeps	orange, peach, pink and bicolour
santas-helper	Santa's Helper	red, green and bicolour
spooktacular	Spooktacular	orange and bicolour
t-marshmellow	T-Marshmellow	bicolour
x-mas-gift	X-mas Gift	red and bicolour
